Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age
0,Shamil Abdurakhimov,6' 3,235.0,6' 3,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,0,1,0,0,44.0
1,Mariya Agapova,5' 6,125.0,5' 6,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,0,0,1,0,28.0
2,Jessica Aguilar,5' 3,115.0,5' 3,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,0,1,0,0,43.0
3,Omari Akhmedov,6' 0,185.0,6' 0,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,0,1,0,0,38.0
4,Yoshihiro Akiyama,5' 10,170.0,5' 10,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,0,1,0,0,50.0
5,Amir Albazi,5' 5,125.0,5' 5,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,0,1,0,0,32.0
6,Aleksandra Albu,5' 2,115.0,5' 2,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,0,1,0,0,35.0
7,Ildemar Alcantara,6' 2,185.0,6' 2,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,0,1,0,0,43.0
8,Iuri Alcantara,5' 9,135.0,5' 9,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0,0,1,0,45.0
9,Irene Aldana,5' 9,135.0,5' 9,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,0,1,0,0,38.0
10,Jose Aldo,5' 7,135.0,5' 7,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,0,1,0,0,39.0
11,Jim Alers,5' 9,145.0,5' 9,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,0,1,0,0,39.0
12,John Alessio,5' 10,155.0,5' 10,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,0,1,0,0,46.0
13,Marcio Alexandre Junior,6' 0,185.0,6' 0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,0,0,1,0,36.0
14,John Allan,6' 1,205.0,6' 1,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,0,1,0,0,33.0
15,Arnold Allen,5' 8,145.0,5' 8,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,0,0,1,0,32.0
16,Brendan Allen,6' 2,185.0,6' 2,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,0,1,0,0,30.0
17,Ricardo Almeida,6' 0,170.0,6' 0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,0,1,0,0,49.0
18,Sarah Alpar,5' 4,135.0,5' 4,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,0,0,1,0,34.0
19,Ali AlQaisi,5' 6,135.0,5' 6,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,0,1,0,0,35.0
20,Eddie Alvarez,5' 9,155.0,5' 9,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,0,1,0,0,42.0
21,Thiago Alves,5' 9,170.0,5' 9,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,0,1,0,0,42.0
22,Warlley Alves,5' 11,170.0,5' 11,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,0,1,0,0,35.0
23,Sam Alvey,6' 2,205.0,6' 2,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,0,0,1,0,39.0
24,Makwan Amirkhani,5' 10,145.0,5' 10,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,0,0,1,0,37.0
25,Eryk Anders,6' 1,185.0,6' 1,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1,0,0,1,0,38.0
26,Megan Anderson,6' 0,145.0,6' 0,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,0,1,0,0,36.0
27,Viscardi Andrade,5' 11,170.0,5' 11,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,0,1,0,0,42.0
28,Jessica Andrade,5' 1,115.0,5' 1,6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,0,1,0,0,34.0
29,Dylan Andrews,6' 1,185.0,6' 1,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,0,0,0,1,46.0
30,Nina Ansaroff,5' 5,115.0,5' 5,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,0,1,0,0,40.0
31,Gadzhimurad Antigulov,5' 11,205.0,5' 11,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,0,1,0,0,39.0
32,Igor Araujo,6' 1,170.0,6' 1,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,0,1,0,0,45.0
33,Felipe Arantes,5' 8,135.0,5' 8,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,0,1,0,0,38.0
34,Julio Arce,5' 7,145.0,5' 7,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,0,0,1,0,36.0
35,Viviane Araujo,5' 4,125.0,5' 4,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2,0,1,0,0,39.0
36,Andrei Arlovski,6' 3,240.0,6' 3,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,0,1,0,0,47.0
37,Akbarh Arreola,5' 10,155.0,5' 10,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,0,0,1,0,43.0
38,Austin Arnett,6' 0,145.0,6' 0,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,0,1,0,0,34.0
39,Matt Arroyo,5' 10,170.0,5' 10,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,0,1,0,0,43.0
40,Antonio Arroyo,6' 3,185.0,6' 3,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3,0,1,0,0,36.0
41,Cyril Asker,6' 0,247.0,6' 0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,0,1,0,0,40.0
42,Scott Askham,6' 3,185.0,6' 3,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,0,0,1,0,37.0
43,Ben Askren,5' 11,170.0,5' 11,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,0,1,0,0,41.0
44,Tom Aspinall,6' 5,256.0,6' 5,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8,0,1,0,0,32.0
45,Junior Assuncao,5' 9,145.0,5' 9,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,0,1,0,0,44.0
46,Raphael Assuncao,5' 5,135.0,5' 5,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3,0,1,0,0,43.0
47,Olivier Aubin-Mercier,5' 9,155.0,5' 9,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,0,0,1,0,37.0
48,Marcus Aurelio,5' 10,155.0,5' 10,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,0,1,0,0,52.0
49,Blas Avena,6' 0,170.0,6' 0,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,0,1,0,0,42.0
50,Hunter Azure,5' 8,145.0,5' 8,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4,0,1,0,0,34.0
51,Miguel Baeza,6' 2,170.0,6' 2,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,0,1,0,0,33.0
52,Ali Bagautinov,5' 4,125.0,5' 4,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,0,1,0,0,40.0
53,Seth Baczynski,6' 3,170.0,6' 3,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,0,1,0,0,44.0
54,Ryan Bader,6' 2,205.0,6' 2,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,0,1,0,0,42.0
55,Siyar Bahadurzada,5' 11,170.0,5' 11,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,0,1,0,0,41.0
56,Humberto Bandenay,5' 11,145.0,5' 11,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,0,0,1,0,31.0
57,Tae Hyun Bang,5' 9,155.0,5' 9,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,0,0,0,1,42.0
58,Maycee Barber,5' 5,125.0,5' 5,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2,0,0,0,1,27.0
59,Antonio Banuelos,5' 5,135.0,5' 5,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,0,1,0,0,46.0
60,Bryan Barberena,6' 0,170.0,6' 0,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,0,0,1,0,36.0
61,Renan Barao,5' 6,145.0,5' 6,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,0,1,0,0,39.0
62,Edson Barboza,5' 11,145.0,5' 11,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,0,1,0,0,40.0
63,Raoni Barcelos,5' 7,135.0,5' 7,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7,0,1,0,0,38.0
64,Luke Barnatt,6' 6,185.0,6' 6,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,0,1,0,0,37.0
65,Phil Baroni,5' 9,170.0,5' 9,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,0,1,0,0,49.0
66,Josh Barnett,6' 3,250.0,6' 3,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,0,1,0,0,48.0
67,Enrique Barzola,5' 7,145.0,5' 7,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,0,1,0,0,36.0
68,Chris Beal,5' 7,125.0,5' 7,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2,0,1,0,0,40.0
69,Chase Beebe,5' 7,135.0,5' 7,2.17,0.38,1.64,0.69,2.49,0.42,0.41,0.9,0,1,0,0,41.0
70,Mirsad Bektic,5' 8,145.0,5' 8,2.43,0.41,1.8,0.57,3.98,0.52,0.92,0.4,0,1,0,0,35.0
71,Alan Belcher,6' 2,185.0,6' 2,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,0,1,0,0,41.0
72,Vitor Belfort,6' 0,185.0,6' 0,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6,0,0,1,0,49.0
73,Marco Beltran,5' 8,125.0,5' 8,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2,0,1,0,0,39.0
74,Joseph Benavidez,5' 4,125.0,5' 4,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6,0,0,1,0,41.0
75,Gabriel Benitez,5' 8,155.0,5' 8,4.38,0.38,3.26,0.7,0.17,0.5,0.56,1.2,0,0,1,0,37.0
76,Ryan Benoit,5' 5,125.0,5' 5,2.95,0.41,3.4,0.6,0.33,0.25,0.7,0.5,0,1,0,0,36.0
77,Dennis Bermudez,5' 6,155.0,5' 6,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,0,1,0,0,39.0
78,Talita Bernardo,5' 4,135.0,5' 4,3.12,0.42,4.04,0.55,1.62,0.22,0.28,0.5,0,1,0,0,39.0
79,Manny Bermudez,5' 10,145.0,5' 10,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1,0,1,0,0,31.0
80,Matt Bessette,5' 10,145.0,5' 10,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3,0,1,0,0,41.0
81,Michael Bisping,6' 1,185.0,6' 1,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3,0,1,0,0,47.0
82,Jan Blachowicz,6' 2,205.0,6' 2,3.59,0.49,2.79,0.53,1.18,0.53,0.65,0.2,0,1,0,0,43.0
83,Brad Blackburn,5' 10,170.0,5' 10,4.55,0.35,3.59,0.65,0.93,0.5,0.76,0.7,0,1,0,0,48.0
84,Maximo Blanco,5' 8,145.0,5' 8,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,0,1,0,0,42.0
