,fighter_name,Height,Weight,Reach,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch
0,Shamil Abdurakhimov,6' 3,235.,6' 3,"Sep 02, 1981",2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,0,1,0,0
1,Mariya Agapova,5' 6,125.,5' 6,"Apr 07, 1997",3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,0,0,1,0
2,Jessica Aguilar,5' 3,115.,5' 3,"May 08, 1982",4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,0,1,0,0
3,Omari Akhmedov,6' 0,185.,6' 0,"Oct 12, 1987",2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,0,1,0,0
4,Yoshihiro Akiyama,5' 10,170.,5' 10,"Jul 29, 1975",3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,0,1,0,0
5,Amir Albazi,5' 5,125.,5' 5,"Oct 27, 1993",4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,0,1,0,0
6,Aleksandra Albu,5' 2,115.,5' 2,"Jul 14, 1990",4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,0,1,0,0
7,Ildemar Alcantara,6' 2,185.,6' 2,"Nov 18, 1982",1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,0,1,0,0
8,Iuri Alcantara,5' 9,135.,5' 9,"Aug 04, 1980",2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0,0,1,0
9,Irene Aldana,5' 9,135.,5' 9,"Mar 26, 1988",5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,0,1,0,0
10,Jose Aldo,5' 7,135.,5' 7,"Sep 09, 1986",3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,0,1,0,0
11,Jim Alers,5' 9,145.,5' 9,"Oct 14, 1986",2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,0,1,0,0
12,John Alessio,5' 10,155.,5' 10,"Jul 05, 1979",2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,0,1,0,0
13,Marcio Alexandre Junior,6' 0,185.,6' 0,"May 05, 1989",1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,0,0,1,0
14,John Allan,6' 1,205.,6' 1,"Feb 22, 1993",2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,0,1,0,0
15,Arnold Allen,5' 8,145.,5' 8,"Jan 22, 1994",3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,0,0,1,0
16,Brendan Allen,6' 2,185.,6' 2,"Dec 28, 1995",3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,0,1,0,0
17,Ricardo Almeida,6' 0,170.,6' 0,"Nov 29, 1976",2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,0,1,0,0
18,Sarah Alpar,5' 4,135.,5' 4,"Jun 01, 1991",2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,0,0,1,0
19,Ali AlQaisi,5' 6,135.,5' 6,"Sep 23, 1990",2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,0,1,0,0
20,Eddie Alvarez,5' 9,155.,5' 9,"Jan 11, 1984",4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,0,1,0,0
21,Thiago Alves,5' 9,170.,5' 9,"Oct 03, 1983",3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,0,1,0,0
22,Warlley Alves,5' 11,170.,5' 11,"Jan 04, 1991",3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,0,1,0,0
23,Sam Alvey,6' 2,205.,6' 2,"May 06, 1986",3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,0,0,1,0
24,Makwan Amirkhani,5' 10,145.,5' 10,"Nov 08, 1988",1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,0,0,1,0
25,Eryk Anders,6' 1,185.,6' 1,"Apr 21, 1987",3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1,0,0,1,0
26,Megan Anderson,6' 0,145.,6' 0,"Feb 11, 1990",1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,0,1,0,0
27,Viscardi Andrade,5' 11,170.,5' 11,"Mar 08, 1984",3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,0,1,0,0
28,Jessica Andrade,5' 1,115.,5' 1,"Sep 25, 1991",6.38,0.49,5.26,0.53,3.11,0.57,0.76,0.4,0,1,0,0
29,Dylan Andrews,6' 1,185.,6' 1,"Nov 15, 1979",2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,0,0,0,1
30,Nina Ansaroff,5' 5,115.,5' 5,"Dec 03, 1985",4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,0,1,0,0
31,Gadzhimurad Antigulov,5' 11,205.,5' 11,"Feb 09, 1987",2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,0,1,0,0
