Unnamed: 0,fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Stance_Open Stance,Stance_Orthodox,Stance_Southpaw,Stance_Switch,Age,Female
0,Shamil Abdurakhimov,75,235.0,75,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2,0,1,0,0,44.0,0
1,Mariya Agapova,66,125.0,66,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6,0,0,1,0,28.0,1
2,Jessica Aguilar,63,115.0,63,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,0,1,0,0,43.0,1
3,Omari Akhmedov,72,185.0,72,2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3,0,1,0,0,38.0,0
4,Yoshihiro Akiyama,70,170.0,70,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,0,1,0,0,50.0,0
5,Amir Albazi,65,125.0,65,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,0,1,0,0,32.0,0
6,Aleksandra Albu,62,115.0,62,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,0,1,0,0,35.0,1
7,Ildemar Alcantara,74,185.0,74,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,0,1,0,0,43.0,0
8,Iuri Alcantara,69,135.0,69,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,0,0,1,0,45.0,0
9,Irene Aldana,69,135.0,69,5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1,0,1,0,0,38.0,1
10,Jose Aldo,67,135.0,67,3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1,0,1,0,0,39.0,0
11,Jim Alers,69,145.0,69,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,0,1,0,0,39.0,0
12,John Alessio,70,155.0,70,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,0,1,0,0,46.0,0
13,Marcio Alexandre Junior,72,185.0,72,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,0,0,1,0,36.0,0
14,John Allan,73,205.0,73,2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2,0,1,0,0,33.0,0
15,Arnold Allen,68,145.0,68,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5,0,0,1,0,32.0,0
16,Brendan Allen,74,185.0,74,3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0,0,1,0,0,30.0,0
17,Ricardo Almeida,72,170.0,72,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,0,1,0,0,49.0,0
18,Sarah Alpar,64,135.0,64,2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7,0,0,1,0,34.0,1
19,Ali AlQaisi,66,135.0,66,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,0,1,0,0,35.0,0
20,Eddie Alvarez,69,155.0,69,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,0,1,0,0,42.0,0
21,Thiago Alves,69,170.0,69,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,0,1,0,0,42.0,0
22,Warlley Alves,71,170.0,71,3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0,0,1,0,0,35.0,0
23,Sam Alvey,74,205.0,74,3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1,0,0,1,0,39.0,0
24,Makwan Amirkhani,70,145.0,70,1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4,0,0,1,0,37.0,0
25,Eryk Anders,73,185.0,73,3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1,0,0,1,0,38.0,0
26,Megan Anderson,72,145.0,72,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,0,1,0,0,36.0,1
