,winner_winner_name,winner_loser_name,winner_event_date,winner_method,winner_round,winner_time,winner_time_format,winner_bout_type,winner_event_name,winner_event_location,winner_winner_stance,winner_loser_stance,winner_winner,winner_delta_KD,winner_delta_sig_str_pct,winner_delta_total_str_pct,winner_delta_TD_pct,winner_delta_sub_att,winner_delta_rev,winner_delta_ctrl,winner_delta_sig_str_head_acc_pct,winner_delta_sig_str_body_acc_pct,winner_delta_sig_str_leg_acc_pct,winner_delta_sig_str_distance_acc_pct,winner_delta_sig_str_clinch_acc_pct,winner_delta_sig_str_ground_acc_pct,winner_delta_sig_str_head_tar_pct,winner_delta_sig_str_body_tar_pct,winner_delta_sig_str_leg_tar_pct,winner_delta_sig_str_distance_pos_pct,winner_delta_sig_str_clinch_pos_pct,winner_delta_sig_str_ground_pos_pct,winner_delta_height,winner_delta_reach,winner_delta_slpm_cs,winner_delta_str_acc_cs,winner_delta_sapm_cs,winner_delta_str_def_cs,winner_delta_td_avg_cs,winner_delta_td_acc_cs,winner_delta_td_def_cs,winner_delta_sub_avg_cs,winner_Unnamed: 0,winner_fighter_name,winner_Height,winner_Weight,winner_Reach,winner_SLpM,winner_Str_Acc,winner_SApM,winner_Str_Def,winner_TD_Avg,winner_TD_Acc,winner_TD_Def,winner_Sub_Avg,winner_Stance_Open Stance,winner_Stance_Orthodox,winner_Stance_Southpaw,winner_Stance_Switch,winner_Age,winner_Female
0,ilia topuria,max holloway,26/10/2024,KO/TKO,3.0,1:34,5 Rnd (5-5-5-5-5),UFC Featherweight Title Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,Orthodox,red,1.0,14.0,12.87,100.0,0.0,0.0,45.0,11.85,35.24,11.14,11.98,0.0,100.0,6.0,-2.0,-4.0,-6.0,0.0,5.0,-10.16,0.0,-4.76,-1.0,-2.71,8.0,4.04,-16.0,16.0,3.9,919,ilia topuria,67,145.0,67,2.5,0.45,1.87,0.68,4.25,0.55,1.0,4.2,0,1,0,0,29.0,0
1,khamzat chimaev,robert whittaker,26/10/2024,Submission,1.0,3:34,5 Rnd (5-5-5-5-5),Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,Orthodox,blue,0.0,-25.0,-19.35,50.0,1.0,0.0,200.0,66.67,100.0,-100.0,-100.0,0.0,100.0,66.0,33.0,-100.0,-100.0,0.0,100.0,5.08,5.08,4.51,32.0,-3.34,6.0,4.24,48.0,-84.0,3.1,150,khamzat chimaev,74,170.0,74,9.03,0.72,0.1,0.66,4.67,0.75,0.0,3.1,0,1,0,0,31.0,0
2,lerone murphy,dan ige,26/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,Orthodox,red,-1.0,9.0,13.82,27.0,0.0,-2.0,-150.0,8.71,8.09,-33.33,5.74,37.5,2.27,-7.0,13.0,-6.0,2.0,10.0,-12.0,5.08,5.08,-1.09,-4.0,-1.29,5.0,-0.81,6.0,-18.0,0.4,620,lerone murphy,69,145.0,69,2.86,0.42,2.07,0.63,0.87,0.33,0.41,0.9,0,1,0,0,34.0,0
3,geoff neal,rafael dos anjos,26/10/2024,KO/TKO,1.0,1:30,3 Rnd (5-5-5),Welterweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Southpaw,Southpaw,red,1.0,30.0,30.99,100.0,0.0,0.0,27.0,30.0,0.0,50.0,23.4,0.0,83.33,16.0,-9.0,-9.0,-28.0,0.0,27.0,7.62,12.7,1.45,3.0,1.71,0.0,-1.43,13.0,34.0,-0.4,630,geoff neal,71,170.0,71,4.94,0.49,4.93,0.61,0.5,0.5,0.92,0.2,0,0,1,0,35.0,0
4,ismail naurdiev,bruno silva,26/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Orthodox,,red,0.0,19.0,26.46,23.0,0.0,0.0,351.0,14.55,8.33,50.0,17.83,18.75,100.0,-14.0,11.0,2.0,-6.0,0.0,6.0,-5.08,,3.17,52.0,1.3,68.0,1.25,71.0,70.0,0.2,629,ismail naurdiev,70,170.0,70,3.17,0.52,1.3,0.68,1.25,0.71,0.7,0.2,0,1,0,0,29.0,0
5,anthony hernandez,michel pereira,19/10/2024,KO/TKO,5.0,2:22,5 Rnd (5-5-5-5-5),Middleweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,26.0,27.97,34.0,-1.0,-1.0,886.0,39.05,30.13,83.33,8.65,35.71,82.91,49.0,-52.0,3.0,-55.0,-9.0,63.0,-2.54,5.08,1.18,1.0,2.25,-11.0,2.0,-4.0,-30.0,1.4,368,anthony hernandez,72,185.0,72,4.92,0.55,5.09,0.47,3.76,0.66,0.7,1.9,0,1,0,0,32.0,0
6,rob font,kyler phillips,19/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,14.0,10.17,-80.0,0.0,0.0,-203.0,21.59,9.04,-76.92,14.18,66.66,-71.43,31.0,-5.0,-26.0,7.0,6.0,-13.0,0.0,-2.54,-0.11,-4.0,0.79,1.0,-1.68,-27.0,-23.0,0.4,277,rob font,68,135.0,68,5.21,0.42,3.83,0.62,1.2,0.36,0.48,0.8,0,1,0,0,38.0,0
7,darren elkins,daniel pineda,19/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-14.0,-11.76,25.0,-2.0,0.0,211.0,-16.8,20.0,-60.0,-5.95,-57.14,-13.94,9.0,1.0,-9.0,17.0,4.0,-21.0,7.62,5.08,0.09,-11.0,0.36,8.0,1.15,4.0,14.0,-0.6,241,darren elkins,70,145.0,70,3.5,0.38,3.08,0.52,2.7,0.33,0.58,1.2,0,1,0,0,41.0,0
8,joselyne edwards,tamires vidal,19/10/2024,Submission,3.0,4:33,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,11.0,12.99,57.0,2.0,0.0,115.0,16.97,12.63,1.95,12.62,6.82,73.33,15.0,-2.0,-13.0,2.0,-15.0,13.0,,,,,,,,,,,235,joselyne edwards,68,135.0,68,4.2,0.53,3.83,0.46,0.5,0.16,0.37,0.5,0,1,0,0,30.0,1
9,brandon royval,tatsuro taira,12/10/2024,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),Flyweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",Southpaw,,red,0.0,11.0,3.99,60.0,2.0,2.0,-590.0,15.42,-37.5,-100.0,6.92,91.67,14.12,11.0,-3.0,-7.0,-12.0,8.0,3.0,,,,,,,,,,,788,brandon royval,69,125.0,69,3.77,0.46,2.88,0.47,0.79,1.0,0.53,2.4,0,0,1,0,33.0,0
