,Unnamed: 0.1,Unnamed: 0,fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
0,2,2,Shamil Abdurakhimov,6' 3,235 lbs.,6' 3,Orthodox,"Sep 02, 1981",2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2
1,18,18,Mariya Agapova,5' 6,125 lbs.,5' 6,Southpaw,"Apr 07, 1997",3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6
2,21,21,Jessica Aguilar,5' 3,115 lbs.,5' 3,Orthodox,"May 08, 1982",4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2
3,27,27,Omari Akhmedov,6' 0,185 lbs.,6' 0,Orthodox,"Oct 12, 1987",2.95,0.35,2.59,0.57,2.63,0.49,0.65,0.3
4,29,29,Yoshihiro Akiyama,5' 10,170 lbs.,5' 10,Orthodox,"Jul 29, 1975",3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0
5,35,35,Amir Albazi,5' 5,125 lbs.,5' 5,Orthodox,"Oct 27, 1993",4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8
6,38,38,Aleksandra Albu,5' 2,115 lbs.,5' 2,Orthodox,"Jul 14, 1990",4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4
7,42,42,Ildemar Alcantara,6' 2,185 lbs.,6' 2,Orthodox,"Nov 18, 1982",1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9
8,44,44,Iuri Alcantara,5' 9,135 lbs.,5' 9,Southpaw,"Aug 04, 1980",2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
9,47,47,Irene Aldana,5' 9,135 lbs.,5' 9,Orthodox,"Mar 26, 1988",5.52,0.38,5.97,0.61,0.23,0.5,0.84,0.1
10,49,49,Jose Aldo,5' 7,135 lbs.,5' 7,Orthodox,"Sep 09, 1986",3.45,0.45,3.52,0.61,0.57,0.56,0.91,0.1
11,51,51,Jim Alers,5' 9,145 lbs.,5' 9,Orthodox,"Oct 14, 1986",2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3
12,53,53,John Alessio,5' 10,155 lbs.,5' 10,Orthodox,"Jul 05, 1979",2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2
13,54,54,Marcio Alexandre Junior,6' 0,185 lbs.,6' 0,Southpaw,"May 05, 1989",1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
14,62,62,John Allan,6' 1,205 lbs.,6' 1,Orthodox,"Feb 22, 1993",2.95,0.43,4.01,0.52,1.94,0.71,0.5,1.2
15,63,63,Arnold Allen,5' 8,145 lbs.,5' 8,Southpaw,"Jan 22, 1994",3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5
16,66,66,Brendan Allen,6' 2,185 lbs.,6' 2,Orthodox,"Dec 28, 1995",3.55,0.59,4.57,0.39,1.17,0.37,0.5,2.0
17,67,67,Ricardo Almeida,6' 0,170 lbs.,6' 0,Orthodox,"Nov 29, 1976",2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
18,73,73,Sarah Alpar,5' 4,135 lbs.,5' 4,Southpaw,"Jun 01, 1991",2.11,0.54,4.76,0.32,2.69,0.28,0.5,0.7
19,75,75,Ali AlQaisi,5' 6,135 lbs.,5' 6,Orthodox,"Sep 23, 1990",2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0
20,80,80,Eddie Alvarez,5' 9,155 lbs.,5' 9,Orthodox,"Jan 11, 1984",4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
21,83,83,Thiago Alves,5' 9,170 lbs.,5' 9,Orthodox,"Oct 03, 1983",3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3
22,85,85,Warlley Alves,5' 11,170 lbs.,5' 11,Orthodox,"Jan 04, 1991",3.09,0.47,3.62,0.5,1.48,0.54,0.75,1.0
23,89,89,Sam Alvey,6' 2,205 lbs.,6' 2,Southpaw,"May 06, 1986",3.17,0.44,3.26,0.55,0.08,0.16,0.82,0.1
24,94,94,Makwan Amirkhani,5' 10,145 lbs.,5' 10,Southpaw,"Nov 08, 1988",1.42,0.44,2.63,0.51,3.37,0.37,0.57,1.4
25,96,96,Eryk Anders,6' 1,185 lbs.,6' 1,Southpaw,"Apr 21, 1987",3.23,0.46,4.15,0.51,1.62,0.35,0.8,0.1
