,winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_KD,delta_sig_str_pct,delta_total_str_pct,delta_TD_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs
20,JOSELYNE EDWARDS,TAMIRES VIDAL,19/10/2024,Submission,3.0,4:33,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",Orthodox,,red,0.0,11.0,12.99,57.0,2.0,0.0,115.0,16.97,12.63,1.95,12.62,6.82,73.33,15.0,-2.0,-13.0,2.0,-15.0,13.0,,,,,,,,,,
21,ELISE REED,JESSICA PENNE,19/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,19.0,18.52,-7.0,0.0,0.0,-166.0,28.72,22.74,-28.41,21.48,23.08,0.0,23.0,-18.0,-6.0,13.0,-13.0,0.0,,,,,,,,,,
22,MELISSA MARTINEZ,ALICE ARDELEAN,19/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Hernandez vs. Pereira,"Las Vegas, Nevada, USA",,,red,0.0,8.0,8.74,0.0,0.0,0.0,-41.0,3.71,-9.36,5.77,8.67,-50.0,0.0,-19.0,9.0,10.0,2.0,-1.0,0.0,,,,,,,,,,
33,JULIA POLASTRI,CORY MCKENNA,12/10/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Royval vs. Taira,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,28.0,20.46,-16.0,0.0,0.0,-127.0,16.69,14.74,-7.14,22.24,19.55,50.0,-30.0,24.0,4.0,-26.0,24.0,2.0,,,,,,,,,,
37,JULIANNA PENA,RAQUEL PENNINGTON,05/10/2024,Decision - Split,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Bantamweight Title Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",Orthodox,Orthodox,blue,-1.0,6.0,7.48,66.0,1.0,0.0,307.0,12.48,-6.06,14.29,6.59,-16.67,0.0,28.0,-22.0,-5.0,2.0,-2.0,0.0,-2.54,5.08,-0.82,-1.0,-1.5,-10.0,1.37,25.0,-42.0,0.1
40,KAYLA HARRISON,KETLEN VIEIRA,05/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",,Orthodox,blue,0.0,19.0,3.73,25.0,0.0,0.0,474.0,17.7,60.83,-22.22,1.79,-11.76,77.78,11.0,9.0,-21.0,-53.0,15.0,38.0,,,,,,,,,,
42,IASMIN LUCINDO,MARINA RODRIGUEZ,05/10/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",,Orthodox,blue,0.0,8.0,4.37,-25.0,0.0,1.0,269.0,2.47,-2.2,50.0,9.28,-26.67,0.0,-21.0,15.0,6.0,6.0,-6.0,0.0,,,,,,,,,,
46,TECIA PENNINGTON,CARLA ESPARZA,05/10/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 307: Pereira vs. Rountree Jr.,"Salt Lake City, Utah, USA",,Orthodox,blue,0.0,22.0,2.68,-57.0,0.0,0.0,-220.0,3.64,25.0,-10.87,22.82,62.5,-60.0,-41.0,3.0,39.0,9.0,6.0,-15.0,,,,,,,,,,
58,AILIN PEREZ,DARIA ZHELEZNIAKOVA,28/09/2024,Submission,1.0,3:52,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",,,red,0.0,17.0,24.34,-50.0,1.0,0.0,63.0,31.43,-50.0,50.0,1.14,100.0,0.0,-9.0,-20.0,28.0,-38.0,14.0,22.0,,,,,,,,,,
60,JACQUELINE CAVALCANTI,NORA CORNOLLE,28/09/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Moicano vs. Saint Denis,"Paris, Ile-de-France, France",,,blue,0.0,-12.0,-6.43,-11.0,0.0,1.0,-167.0,0.85,6.09,-20.98,-10.28,6.58,0.0,24.0,-9.0,-15.0,13.0,-13.0,0.0,,,,,,,,,,
63,VALENTINA SHEVCHENKO,ALEXA GRASSO,14/09/2024,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),UFC Women's Flyweight Title Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,38.0,20.38,41.0,-2.0,0.0,915.0,42.71,30.0,56.25,37.84,0.0,-33.33,40.0,-10.0,-30.0,-2.0,-1.0,3.0,0.0,0.0,-1.98,7.0,-1.58,-2.0,1.93,18.0,15.0,-0.3
67,NORMA DUMONT,IRENE ALDANA,14/09/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,14.0,13.76,0.0,0.0,0.0,-5.0,6.45,28.78,28.07,13.93,8.33,0.0,-13.0,4.0,8.0,1.0,-1.0,0.0,-5.08,-2.54,-0.17,17.0,-3.32,11.0,2.2,-8.0,16.0,-0.1
69,KETLEN SOUZA,YAZMIN JAUREGUI,14/09/2024,Submission,1.0,3:02,3 Rnd (5-5-5),Women's Strawweight Bout,UFC 306: Riyadh Season Noche UFC,"Las Vegas, Nevada, USA",,,blue,1.0,13.0,12.05,0.0,1.0,0.0,15.0,13.38,5.71,18.18,9.39,0.0,50.0,6.0,6.0,-11.0,-6.0,5.0,2.0,,,,,,,,,,
73,NATALIA SILVA,JESSICA ANDRADE,07/09/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,21.0,15.88,0.0,0.0,0.0,-82.0,15.42,19.44,33.33,18.52,50.0,100.0,-9.0,6.0,2.0,-6.0,3.0,1.0,7.62,,-6.38,-49.0,-5.26,-53.0,-3.11,-57.0,-76.0,-0.4
81,JAQUELINE AMORIM,VANESSA DEMOPOULOS,07/09/2024,Submission,1.0,3:28,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Burns vs. Brady,"Las Vegas, Nevada, USA",,Orthodox,red,0.0,33.0,32.14,100.0,1.0,0.0,185.0,100.0,-16.67,0.0,16.67,0.0,100.0,50.0,-50.0,0.0,-50.0,0.0,50.0,,,,,,,,,,
85,TABATHA RICCI,ANGELA HILL,24/08/2024,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",,Orthodox,blue,0.0,-9.0,-7.14,75.0,0.0,0.0,294.0,-5.28,-8.95,0.0,-8.17,-1.65,-12.5,23.0,-31.0,8.0,9.0,-7.0,-2.0,,,,,,,,,,
93,JACQUELINE CAVALCANTI,JOSIANE NUNES,24/08/2024,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",,,red,0.0,20.0,19.23,0.0,0.0,0.0,-8.0,14.99,0.0,-6.06,19.66,0.0,-50.0,-10.0,-9.0,19.0,4.0,0.0,-3.0,,,,,,,,,,
94,WANG CONG,VICTORIA LEONARDO,24/08/2024,KO/TKO,1.0,1:02,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Cannonier vs. Borralho,"Las Vegas, Nevada, USA",,Orthodox,red,1.0,27.0,27.35,0.0,0.0,0.0,2.0,25.0,20.0,0.0,27.35,0.0,0.0,40.0,10.0,-50.0,0.0,0.0,0.0,,,,,,,,,,
